Species	Africa	Asia	Australia	North/Central America	South America	Europe
Falco_biarmicus	1	1	0	0	0	1
Falco_rusticolus	0	1	0	1	0	1
Falco_cherrug	1	1	0	0	0	1
Falco_subniger	0	0	1	0	0	0
Falco_jugger	0	1	0	0	0	0
Falco_hypoleucos	0	0	1	0	0	0
Falco_pelegrinoides	1	1	0	0	0	1
Falco_peregrinus	1	1	1	1	1	1
Falco_mexicanus	0	0	0	1	0	0
Falco_chicquera	1	1	0	0	0	0
Falco_berigora	0	1	1	0	0	0
Falco_femoralis	0	0	0	1	1	0
Falco_rufigularis	0	0	0	1	1	0
Falco_novaeseelandiae	0	0	1	0	0	0
Falco_cuvierii	1	0	0	0	0	0
Falco_subbuteo	1	1	0	0	0	1
Falco_eleonorae	1	1	0	0	0	1
Falco_concolor	1	1	0	0	0	0
Falco_longipennis	0	1	1	0	0	0
Falco_deiroleucus	0	0	0	1	1	0
Falco_columbarius	1	1	0	1	1	1
Falco_vespertinus	1	1	0	0	0	1
Falco_amurensis	1	1	0	0	0	0
Falco_sparverius	0	0	0	1	1	0
Falco_moluccensis	0	1	0	0	0	0
Falco_dickinsoni	1	0	0	0	0	0
Falco_araea	1	0	0	0	0	0
Falco_newtoni	1	0	0	0	0	0
Falco_ardosiaceus	1	0	0	0	0	0
Falco_punctatus	1	0	0	0	0	0
Falco_cenchroides	0	1	1	0	0	0
Falco_tinnunculus	1	1	1	0	0	1
Falco_rupicoloides	1	0	0	0	0	0
Falco_severus	0	1	1	0	0	0
Falco_naumanni	1	1	0	0	0	1
Falco_fasciinucha	1	0	0	0	0	0
Falco_zoniventris	1	0	0	0	0	0
Falco_alopex	1	0	0	0	0	0
Microhierax_caerulescens	0	1	0	0	0	0
Microhierax_erythrogenys	0	1	0	0	0	0
Microhierax_latifrons	0	1	0	0	0	0
Microhierax_melanoleucos	0	1	0	0	0	0
Microhierax_fringillarius	0	1	0	0	0	0
Polihierax_insignis	0	1	0	0	0	0
Polihierax_semitorquatus	1	0	0	0	0	0
Phalcoboenus_australis	0	0	0	0	1	0
Phalcoboenus_megalopterus	0	0	0	0	1	0
Phalcoboenus_albogularis	0	0	0	0	1	0
Phalcoboenus_carunculatus	0	0	0	0	1	0
Milvago_chimango	0	0	0	0	1	0
Milvago_chimachima	0	0	0	0	1	0
Daptrius_ater	0	0	0	0	1	0
Ibycter_americanus	0	0	0	0	1	0
Caracara_plancus	0	0	0	0	1	0
Caracara_cheriway	0	0	0	1	1	0
Spiziapteryx_circumcincta	0	0	0	0	1	0
Micrastur_gilvicollis	0	0	0	0	1	0
Micrastur_buckleyi	0	0	0	0	1	0
Micrastur_plumbeus	0	0	0	0	1	0
Micrastur_mintoni	0	0	0	0	1	0
Micrastur_semitorquatus	0	1	0	1	1	0
Micrastur_mirandollei	0	0	0	0	1	0
Micrastur_ruficollis	0	0	0	1	1	0
Herpetotheres_cachinnans	0	0	0	1	1	0
