generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,4,1
3000,3,4,1
4000,1,4,1
5000,2,4,1
6000,1,2,1
7000,2,4,0
8000,1,4,1
9000,1,3,1
10000,3,4,1
11000,2,3,1
12000,3,4,1
13000,1,4,0
14000,1,2,1
15000,2,4,1
16000,2,3,1
17000,2,4,0
18000,3,4,1
19000,3,4,0
20000,1,3,1
21000,1,3,0
22000,2,4,1
23000,2,4,1
24000,1,3,1
25000,1,2,1
26000,2,4,0
27000,1,4,1
28000,2,3,1
29000,1,3,1
30000,1,3,1
31000,1,4,0
32000,3,4,1
33000,1,2,1
34000,2,3,1
35000,2,4,1
36000,2,4,1
37000,1,4,1
38000,1,4,0
39000,2,3,1
40000,3,4,1
41000,2,3,1
42000,1,3,1
43000,3,4,1
44000,1,2,1
45000,2,4,1
46000,2,4,1
47000,1,2,1
48000,2,4,1
49000,1,3,1
50000,3,4,1
51000,3,4,1
52000,2,4,1
53000,1,3,1
54000,3,4,1
55000,1,2,1
56000,1,4,1
57000,1,2,1
58000,1,2,1
59000,2,4,1
60000,1,2,1
61000,1,3,1
62000,3,4,1
63000,3,4,0
64000,1,4,1
65000,1,3,1
66000,1,2,0
67000,1,2,1
68000,3,4,1
69000,1,4,1
70000,1,2,0
71000,1,2,1
72000,1,3,0
73000,2,4,1
74000,2,3,1
75000,1,2,1
76000,1,2,1
77000,2,3,1
78000,1,2,1
79000,1,2,0
80000,1,3,1
81000,2,3,1
82000,2,3,1
83000,2,3,1
84000,2,4,1
85000,1,2,1
86000,3,4,1
87000,2,4,1
88000,2,3,1
89000,1,2,1
90000,2,4,1
91000,3,4,1
92000,1,4,1
93000,1,4,0
94000,2,3,1
95000,2,4,1
96000,1,2,1
97000,2,4,1
98000,1,2,1
99000,1,3,1
100000,3,4,1
101000,3,4,1
102000,3,4,1
103000,1,2,1
104000,1,4,1
105000,1,4,1
106000,2,3,1
107000,1,3,1
108000,2,4,1
109000,2,4,1
110000,1,2,1
111000,1,4,1
112000,1,2,1
113000,2,3,1
114000,2,3,1
115000,1,3,1
116000,1,2,1
117000,2,4,1
118000,3,4,1
119000,2,3,1
120000,1,4,1
