generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.19137,-231.032,1,0
1000,0,2.11043,-193.224,0.215758,0.294705
2000,1,3.36092,-194.402,0.685709,0.339
3000,0,0.335419,-193.221,1.82229,0.303
4000,0,1.46956,-194.911,0.183013,0.316671
5000,0,2.13365,-192.694,0.384859,0.25
6000,0,2.9293,-192.532,0.0991676,0.335667
7000,0,1.34478,-192.107,0.633406,0.315
8000,0,0.628122,-191.603,1.77772,0.326584
9000,0,2.76053,-193.032,0.0849001,0.324444
10000,0,2.2713,-195.877,0.148623,0.287
11000,0,2.58412,-193.507,0.119999,0.308
12000,0,2.17483,-193.085,0.78378,0.307
13000,0,1.78242,-192.767,0.647239,0.328
14000,0,1.9164,-193.816,0.673621,0.325571
15000,0,2.2629,-192.898,0.220638,0.255
16000,0,-1.27415,-191.834,0.276192,0.306
17000,0,1.66698,-194.514,0.135455,0.299
18000,0,2.28973,-193.125,0.614492,0.266
19000,0,2.66572,-192.898,0.00549387,0.275
20000,0,1.19309,-192.946,1.51406,0.320286
21000,0,2.35894,-192.737,0.238252,0.239
22000,1,1.24924,-192.911,1.51745,0.293
23000,0,2.37974,-192.95,0.167372,0.293
24000,0,1.34131,-191.876,0.903224,0.2694
25000,0,1.99579,-191.591,0.00118634,0.296412
26000,0,2.75376,-191.867,0.145971,0.306
27000,1,3.96925,-192.058,0.784155,0.321273
28000,3,6.35921,-191.293,1.20878,0.441
29000,0,2.93118,-192.56,0.0918604,0.3078
30000,1,2.21951,-190.027,0.305532,0.468
31000,1,5.03181,-189.872,0.654525,0.494
32000,2,5.16255,-193.574,1.13863,0.544
33000,0,2.36177,-193.556,0.101633,0.2869
34000,0,1.93063,-193.908,0.913353,0.383
35000,0,2.4929,-192.513,0.0820954,0.291
36000,0,2.17616,-192.055,0.26404,0.283
37000,0,2.13185,-192.656,0.381783,0.338375
38000,0,0.436149,-192.392,0.481275,0.274
39000,0,2.80053,-191.993,0.0550508,0.326
40000,0,2.31704,-191.939,0.225437,0.283
41000,0,2.50168,-192.326,0.124402,0.378
42000,0,2.62188,-193.01,0.319856,0.336
43000,0,0.249062,-191.982,1.53579,0.402
44000,0,1.78476,-192.322,1.0602,0.324125
45000,0,2.7852,-192.034,0.142609,0.326
46000,0,1.7957,-193.349,0.364336,0.356
47000,0,2.7782,-192.466,0.0744481,0.3245
48000,0,1.15165,-192.107,0.576772,0.312
49000,1,-2.81864,-191.71,1.06161,0.325261
50000,1,2.21397,-192.823,0.54779,0.313
51000,0,2.75207,-191.778,0.043377,0.336
52000,0,2.42473,-192.187,0.235,0.324
53000,0,1.80105,-192.48,0.751154,0.3192
54000,0,1.34706,-192.569,1.35078,0.269
55000,0,2.68693,-191.93,0.105008,0.352222
56000,0,2.35054,-193,0.0668656,0.31075
57000,0,2.54152,-191.992,0.261684,0.281333
58000,0,2.36778,-192.776,0.210122,0.2335
