Number,Species
1,Falco_biarmicus
2,Falco_rusticolus
3,Falco_cherrug
4,Falco_subniger
5,Falco_jugger
6,Falco_hypoleucos
7,Falco_pelegrinoides
8,Falco_peregrinus
9,Falco_mexicanus
10,Falco_chicquera
11,Falco_berigora
12,Falco_femoralis
13,Falco_rufigularis
14,Falco_novaeseelandiae
15,Falco_cuvierii
16,Falco_subbuteo
17,Falco_eleonorae
18,Falco_concolor
19,Falco_longipennis
20,Falco_deiroleucus
21,Falco_columbarius
22,Falco_vespertinus
23,Falco_amurensis
24,Falco_sparverius
25,Falco_moluccensis
26,Falco_dickinsoni
27,Falco_araea
28,Falco_newtoni
29,Falco_ardosiaceus
30,Falco_punctatus
31,Falco_cenchroides
32,Falco_tinnunculus
33,Falco_rupicoloides
34,Falco_severus
35,Falco_naumanni
36,Falco_fasciinucha
37,Falco_zoniventris
38,Falco_alopex
39,Microhierax_caerulescens
40,Microhierax_erythrogenys
41,Microhierax_latifrons
42,Microhierax_melanoleucos
43,Microhierax_fringillarius
44,Polihierax_insignis
45,Polihierax_semitorquatus
46,Phalcoboenus_australis
47,Phalcoboenus_megalopterus
48,Phalcoboenus_albogularis
49,Phalcoboenus_carunculatus
50,Milvago_chimango
51,Milvago_chimachima
52,Daptrius_ater
53,Ibycter_americanus
54,Caracara_plancus
55,Caracara_cheriway
56,Spiziapteryx_circumcincta
57,Micrastur_gilvicollis
58,Micrastur_buckleyi
59,Micrastur_plumbeus
60,Micrastur_mintoni
61,Micrastur_semitorquatus
62,Micrastur_mirandollei
63,Micrastur_ruficollis
64,Herpetotheres_cachinnans
